ID,X,Y,bio17,bio16,bio10,bio6,bio2,dataType
1,1299630,5894292.387,12,279,168,-346,150,absence
2,1289630,5889292.387,14,291,160,-355,151,absence
3,1129630,5864292.387,15,290,148,-370,155,absence
4,1149630,5854292.387,16,297,145,-374,155,absence
5,1104630,5804292.387,16,303,140,-374,157,absence
6,1439630,5789292.387,17,311,167,-343,138,absence
7,1354630,5779292.387,15,314,159,-354,149,absence
8,1284630,5769292.387,15,314,152,-365,155,absence
9,1379630,5759292.387,15,318,160,-352,147,absence
10,1369630,5744292.387,15,315,162,-350,149,absence
11,1424630,5739292.387,15,334,154,-353,141,absence
12,1124630,5734292.387,15,292,153,-363,158,absence
13,1359630,5734292.387,15,322,158,-354,150,absence
14,1539630,5699292.387,14,322,180,-317,127,absence
15,1344630,5694292.387,15,353,140,-369,152,absence
16,1549630,5684292.387,14,333,177,-317,126,absence
17,1484630,5644292.387,13,330,171,-328,136,absence
18,1559630,5644292.387,14,335,181,-308,127,absence
19,1139630,5609292.387,15,310,144,-363,154,absence
20,1314630,5574292.387,14,342,155,-348,157,absence
21,1054630,5564292.387,13,284,163,-341,142,absence
22,1384630,5564292.387,11,334,171,-335,153,absence
23,1679630,5554292.387,18,357,191,-301,131,absence
24,1414630,5549292.387,11,334,176,-329,148,absence
25,1639630,5544292.387,15,353,182,-304,138,absence
26,1789630,5539292.387,23,386,182,-325,127,absence
27,1544630,5534292.387,14,353,172,-316,133,absence
28,1319630,5534292.387,13,344,160,-338,156,absence
29,1604630,5524292.387,14,361,171,-313,137,absence
30,1069630,5519292.387,11,268,174,-328,138,absence
31,1694630,5514292.387,18,389,177,-315,133,absence
32,1049630,5494292.387,11,258,179,-323,135,absence
33,1859630,5489292.387,19,364,193,-298,123,absence
34,1599630,5484292.387,14,360,176,-308,134,absence
35,1109630,5464292.387,14,290,158,-328,133,absence
36,1684630,5459292.387,17,393,177,-310,133,absence
37,2109630,5449292.387,27,334,201,-258,106,absence
38,1754630,5439292.387,18,410,182,-311,133,absence
39,1119630,5434292.387,12,273,172,-309,131,absence
40,994630,5434292.387,9,239,182,-318,133,absence
41,1024630,5429292.387,10,246,181,-317,131,absence
42,1824630,5429292.387,21,435,165,-321,127,absence
43,2109630,5424292.387,26,329,201,-255,106,absence
44,1029630,5424292.387,10,246,179,-317,131,absence
45,1414630,5419292.387,10,336,187,-303,140,absence
46,1324630,5409292.387,11,350,169,-294,138,absence
47,1494630,5409292.387,11,328,195,-289,127,absence
48,2054630,5409292.387,21,322,202,-252,103,absence
49,1674630,5404292.387,14,394,180,-304,128,absence
50,1149630,5349292.387,15,310,149,-308,128,absence
51,1229630,5329292.387,13,332,162,-267,122,absence
52,904630,5329292.387,5,196,195,-279,128,absence
53,-1400370,5319292.387,20,57,214,-184,114,absence
54,1349630,5314292.387,8,317,195,-255,122,absence
55,1029630,5309292.387,10,216,183,-304,134,absence
56,1774630,5309292.387,19,422,183,-301,129,absence
57,1924630,5309292.387,19,331,205,-248,117,absence
58,-1420370,5304292.387,20,63,208,-188,114,absence
59,1754630,5304292.387,17,408,190,-293,129,absence
60,1369630,5299292.387,8,306,203,-248,118,absence
61,2044630,5294292.387,19,350,187,-253,111,absence
62,1044630,5294292.387,10,219,179,-305,135,absence
63,1999630,5294292.387,19,337,196,-244,111,absence
64,-1315370,5289292.387,21,57,214,-200,120,absence
65,1624630,5284292.387,10,350,204,-269,116,absence
66,1534630,5279292.387,8,317,207,-263,118,absence
67,-1280370,5274292.387,25,61,204,-217,123,absence
68,1774630,5274292.387,19,410,190,-293,128,absence
69,1004630,5269292.387,8,196,185,-301,136,absence
70,2134630,5264292.387,24,308,200,-237,105,absence
71,1774630,5264292.387,19,412,188,-293,127,absence
72,1119630,5259292.387,16,289,148,-317,135,absence
73,1419630,5259292.387,8,296,212,-238,105,absence
74,1289630,5254292.387,10,317,189,-244,120,absence
75,2164630,5234292.387,32,309,199,-230,106,absence
76,-1155370,5234292.387,9,82,132,-259,127,absence
77,-1625370,5229292.387,40,99,211,-193,124,absence
78,1349630,5219292.387,7,299,208,-231,116,absence
79,1844630,5209292.387,19,364,206,-267,125,absence
80,1989630,5209292.387,19,327,205,-226,114,absence
81,-1305370,5174292.387,17,52,221,-207,125,absence
82,-1430370,5174292.387,13,78,190,-186,119,absence
83,1189630,5149292.387,13,298,177,-267,132,absence
84,-1170370,5144292.387,24,59,198,-253,142,absence
85,1499630,5144292.387,7,295,217,-238,118,absence
86,-1720370,5139292.387,38,201,110,-254,108,absence
87,1309630,5114292.387,7,323,204,-227,121,absence
88,-1590370,5109292.387,16,102,201,-207,112,absence
89,1294630,5099292.387,7,321,204,-225,122,absence
90,1149630,5084292.387,12,295,168,-276,136,absence
91,-1550370,5084292.387,12,52,270,-179,115,absence
92,-1570370,5069292.387,13,57,261,-183,114,absence
93,1804630,5054292.387,21,418,195,-266,131,absence
94,-1490370,5054292.387,13,50,262,-170,117,absence
95,1249630,5049292.387,8,313,200,-225,125,absence
96,-1840370,5049292.387,40,228,111,-245,111,absence
97,1784630,5049292.387,21,421,199,-263,131,absence
98,1769630,5044292.387,19,418,203,-260,131,absence
99,979630,5034292.387,9,204,178,-287,139,absence
100,-1110370,5034292.387,16,51,198,-232,141,absence
101,-1130370,5029292.387,17,69,176,-222,133,absence
102,-1415370,5019292.387,16,55,249,-173,117,absence
103,1264630,5019292.387,6,310,207,-214,124,absence
104,-1515370,5019292.387,13,51,268,-169,115,absence
105,1229630,5019292.387,7,300,205,-218,126,absence
106,1119630,5014292.387,10,285,172,-266,137,absence
107,1869630,5009292.387,20,388,189,-255,128,absence
108,-1435370,5009292.387,16,55,254,-169,117,absence
109,-1470370,5004292.387,14,52,261,-166,116,absence
110,1694630,5004292.387,17,411,211,-252,126,absence
111,-1805370,4999292.387,29,231,104,-253,106,absence
112,-1695370,4994292.387,14,56,234,-200,116,absence
113,-1555370,4979292.387,15,54,264,-169,115,absence
114,2069630,4974292.387,26,357,173,-203,104,absence
115,1959630,4974292.387,16,334,196,-225,124,absence
116,-1765370,4964292.387,22,253,65,-281,97,absence
117,-1325370,4964292.387,22,65,234,-194,122,absence
118,1279630,4954292.387,5,297,221,-192,122,absence
119,-1100370,4949292.387,11,79,167,-212,128,absence
120,1619630,4949292.387,14,401,217,-232,118,absence
121,-1695370,4944292.387,18,263,34,-301,89,absence
122,809630,4929292.387,9,193,164,-274,135,absence
123,2044630,4929292.387,27,411,152,-226,107,absence
124,1634630,4929292.387,15,415,217,-232,119,absence
125,-1875370,4924292.387,31,171,180,-185,126,absence
126,1584630,4924292.387,12,386,219,-218,114,absence
127,974630,4924292.387,9,216,183,-262,136,absence
128,1199630,4914292.387,6,308,199,-209,129,absence
129,1859630,4904292.387,18,391,188,-236,129,absence
130,-1515370,4894292.387,11,95,210,-175,110,absence
